fonte;transacao;id;tipo;titulo;cidade;bairro;estado;cep;endereco;latitude;longitude;quartos;suites;banheiros;vagas;mobiliado;area_total_m2;area_util_m2;area_privativa_m2;preco;preco_total;exclusividade;url;coletado_em
jetlar;venda;10302571;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Sarandi;RS;91130450;Avenida Sarandi;-30.0028595000000000;-51.1251852000000000;2;0;1;1;false;70;56;56;345000;345672;false;https://www.jetlar.com/imovel/apartamento-com-2-quartos-a-venda-e-1-vaga-bairro-sarandi-em-porto-alegre/10302571;2026-07-10T20:34:04.009Z
jetlar;venda;6060150;Apartamento;Apartamento com 3 quartos à venda;Porto Alegre;Rio Branco;RS;90430181;Rua Mariante;-30.0362811000000000;-51.2043457000000000;3;0;2;0;false;114;114;98;350000;350250;false;https://www.jetlar.com/imovel/apartamento-com-3-quartos-a-venda-bairro-rio-branco-em-porto-alegre/6060150;2026-07-10T20:34:58.274Z
jetlar;venda;8979560;Chácara;Chácara com 3 quartos à venda;Porto Alegre;Cascata;RS;;;;;3;1;2;1;false;2071;;1859;450000;0;false;https://www.jetlar.com/imovel/chacara-a-venda-porto-alegre-rs-2071-m2/8979560;2026-07-10T20:35:10.166Z
jetlar;venda;3696466;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Santa Maria Goretti;RS;91010000;Avenida Assis Brasil;-30.0082234000000000;-51.1832005000000000;2;0;1;0;false;79;;62;230000;230320;false;https://www.jetlar.com/imovel/apartamento-com-2-quartos-a-venda-bairro-santa-maria-goretti-em-porto-alegre/3696466;2026-07-10T20:38:42.184Z
jetlar;venda;3695279;Apartamento;Apartamento com 3 quartos à venda;Porto Alegre;Higienópolis;RS;90520080;Rua Luzitana;-30.0187028000000000;-51.1836431000000000;3;1;4;2;false;248;;148;1190000;1191230;false;https://www.jetlar.com/imovel/apartamento-com-3-quartos-a-venda-e-2-vagas-bairro-higienopolis-em-porto-alegre/3695279;2026-07-10T20:38:42.184Z
jetlar;venda;3692036;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Vila Conceição;RS;91920000;Rua Padre Joao Batista Reus;-30.1147372000000000;-51.2472889000000000;2;0;1;0;false;114;;68;260000;261050;false;https://www.jetlar.com/imovel/apartamento-com-2-quartos-a-venda-bairro-vila-conceicao-em-porto-alegre/3692036;2026-07-10T20:38:42.184Z
jetlar;venda;10015487;Apartamento;Apartamento com 3 quartos à venda;Porto Alegre;Petrópolis;RS;91410000;Rua Professor Cristiano Fischer;-30.0471267000000000;-51.1720436000000000;3;1;2;1;false;137;;87;665000;666160.66;false;https://www.jetlar.com/imovel/apartamento-com-3-quartos-a-venda-e-1-vaga-bairro-petropolis-em-porto-alegre/10015487;2026-07-10T20:38:42.184Z
jetlar;aluguel;3483013;Apartamento;Apartamento com 1 quarto para alugar;Porto Alegre;Cidade Baixa;RS;90040310;Rua Olavo Bilac;-30.0434349000000000;-51.2185600000000000;1;0;1;1;false;65;;43;2500;2910;false;https://www.jetlar.com/imovel/apartamento-com-1-quarto-para-alugar-e-1-vaga-bairro-cidade-baixa-em-porto-alegre/3483013;2026-07-10T20:38:52.722Z
jetlar;aluguel;3477551;Sala Comercial;Sala Comercial para alugar;Porto Alegre;Cidade Baixa;RS;90050000;Rua Jose do Patrocinio;-30.0397035000000000;-51.2230010000000100;;;1;0;false;45;;35;550;985;false;https://www.jetlar.com/imovel/sala-comercial-para-alugar-35m2-bairro-cidade-baixa-em-porto-alegre/3477551;2026-07-10T20:38:56.553Z
jetlar;aluguel;10176860;Loja;Loja para alugar;Porto Alegre;Centro Histórico;RS;90030100;Praça Rui Barbosa;-30.0263696000000000;-51.2248563000000000;;;3;0;false;600;;540;10000;10900;false;https://www.jetlar.com/imovel/loja-para-alugar-540m2-bairro-centro-historico-em-porto-alegre/10176860;2026-07-10T20:39:00.862Z
jetlar;aluguel;10246382;Apartamento;Apartamento com 1 quarto para alugar;Porto Alegre;Rio Branco;RS;90420100;Casemiro de Abreu;-30.0321115000000000;-51.2025264000000000;1;0;1;1;false;25;20;20;2700;3180;false;https://www.jetlar.com/imovel/apartamento-com-1-quarto-para-alugar-e-1-vaga-bairro-rio-branco-em-porto-alegre/10246382;2026-07-10T20:39:00.862Z
jetlar;aluguel;3567403;Casa;Casa com 4 quartos para alugar;Porto Alegre;Ipanema;RS;91760400;Avenida Imperial;0.0000000000000000;0.0000000000000000;4;1;2;5;false;230;230;230;5000;5263;false;https://www.jetlar.com/imovel/casa-com-4-quartos-para-alugar-e-5-vagas-bairro-ipanema-em-porto-alegre/3567403;2026-07-10T20:39:00.862Z
jetlar;venda;3695040;Sobrado;Sobrado com 2 quartos à venda;Porto Alegre;Guarujá;RS;91771012;Rua Antonio Carlos Ribeiro;;;2;2;2;1;false;;;100;383000;0;false;https://www.jetlar.com/imovel/sobrado-com-2-quartos-a-venda-e-1-vaga-bairro-guaruja-em-porto-alegre/3695040;2026-07-10T20:54:42.113Z
jetlar;venda;3696966;Sala Comercial;Sala Comercial à venda;Porto Alegre;Auxiliadora;RS;90440150;Rua Felipe Neri;;;;;1;0;false;0;;44;370000;370800;false;https://www.jetlar.com/imovel/sala-comercial-a-venda-44m2-bairro-auxiliadora-em-porto-alegre/3696966;2026-07-10T20:54:42.114Z
jetlar;venda;3693691;Cobertura;Cobertura com 3 quartos à venda;Porto Alegre;São João;RS;90520310;Rua Portugal;;;3;0;2;2;false;168;;142;900000;900827.92;false;https://www.jetlar.com/imovel/cobertura-com-3-quartos-a-venda-e-2-vagas-bairro-sao-joao-em-porto-alegre/3693691;2026-07-10T20:54:42.114Z
jetlar;venda;4577856;Apartamento;Apartamento com 1 quarto à venda;Porto Alegre;Jardim do Salso;RS;91410100;Rua Doutor Affonso Sanmartin;-30.0514301000000000;-51.1708641000000000;1;0;1;0;false;57;41;41;250000;250233.33;false;https://www.jetlar.com/imovel/apartamento-com-1-quarto-a-venda-bairro-jardim-do-salso-em-porto-alegre/4577856;2026-07-10T20:55:01.571Z
jetlar;venda;3402347;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Morro Santana;RS;91260000;Avenida Protasio Alves;-30.0399175000000000;-51.1280702000000000;2;0;1;1;false;60;53;53;180000;180325;false;https://www.jetlar.com/imovel/apartamento-com-2-quartos-a-venda-e-1-vaga-bairro-morro-santana-em-porto-alegre/3402347;2026-07-10T20:55:40.492Z
jetlar;venda;5252395;Apartamento;Apartamento com 1 quarto à venda;Porto Alegre;Auxiliadora;RS;90450085;Avenida Plínio Brasil Milano;-30.0228282000000000;-51.1893110000000000;1;0;1;0;false;52;;43;196000;196585.59;false;https://www.jetlar.com/imovel/apartamento-com-1-quarto-a-venda-bairro-auxiliadora-em-porto-alegre/5252395;2026-07-10T20:55:40.492Z
jetlar;venda;10497735;Apartamento;Apartamento com 1 quarto à venda;Porto Alegre;Parque Santa Fé;RS;91180760;Rua Professor Álvaro Barcellos Ferreira;-30.0092097000000000;-51.1095211000000000;1;0;1;0;false;46;;42;127000;0;false;https://www.jetlar.com/imovel/apartamento-com-1-quarto-a-venda-bairro-parque-santa-fe-em-porto-alegre/10497735;2026-07-10T20:55:40.492Z
jetlar;venda;10895013;Apartamento;Apartamento com 3 quartos à venda;Porto Alegre;Partenon;RS;90620190;Rua Coronel Jaime da Costa Pereira;-30.0546098000000000;-51.1917777000000000;3;0;1;0;false;;;;230000;230291.66;false;https://www.jetlar.com/imovel/apartamento-com-3-quartos-a-venda-bairro-partenon-em-porto-alegre/10895013;2026-07-10T20:55:40.492Z
