fonte;transacao;id;tipo;titulo;cidade;bairro;estado;cep;endereco;latitude;longitude;quartos;banheiros;suites;vagas;area_total_m2;area_util_m2;area_privativa_m2;preco;preco_total;url;coletado_em
rgi;venda;3403637;Terreno;Terreno / Lote à venda;Porto Alegre;São João;RS;90540031;Rua Carlos Von Koseritz;-30.0134569000000000;-51.1891177000000000;0;0;0;0;;;;1050000;0;https://www.redegauchadeimoveis.com.br/imovel/terreno--lote-a-venda-bairro-sao-joao-em-porto-alegre/15138-SC;2026-07-11T01:15:53.978Z
rgi;venda;5809068;Casa;Casa com 3 quartos à venda;Porto Alegre;Petrópolis;RS;90670120;Rua Artigas;-30.0477851000000000;-51.1888316000000000;3;3;1;3;200;164;164;1010000;0;https://www.redegauchadeimoveis.com.br/imovel/casa-com-3-quartos-a-venda-e-3-vagas-bairro-petropolis-em-porto-alegre/36629-SC;2026-07-11T01:15:53.978Z
rgi;venda;3404845;Apartamento;Apartamento com 1 quarto à venda;Porto Alegre;Centro Histórico;RS;90010310;Rua Demétrio Ribeiro;-30.0357412000000000;-51.2392224000000000;1;1;0;0;64;;56;185000;185310;https://www.redegauchadeimoveis.com.br/imovel/apartamento-com-1-quarto-a-venda-bairro-centro-historico-em-porto-alegre/15643-SC;2026-07-11T01:15:53.978Z
rgi;venda;3553446;Casa;Casa com 3 quartos à venda;Porto Alegre;Vila Ipiranga;RS;91360210;Rua Gaston Englert;-30.0183050000000000;-51.1576864000000000;3;2;1;4;;;224;1370000;0;https://www.redegauchadeimoveis.com.br/imovel/casa-com-3-quartos-a-venda-e-4-vagas-bairro-vila-ipiranga-em-porto-alegre/3233-CN;2026-07-11T01:15:53.978Z
rgi;venda;9897234;Cobertura;Cobertura com 3 quartos à venda;Porto Alegre;Petrópolis;RS;90670100;Rua Ferreira Viana;-30.0468977000000000;-51.1871838000000000;3;3;1;2;236;;205;1500000;1501595;https://www.redegauchadeimoveis.com.br/imovel/cobertura-com-3-quartos-a-venda-e-2-vagas-bairro-petropolis-em-porto-alegre/112792-BO;2026-07-11T01:15:53.978Z
rgi;venda;5570806;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Partenon;RS;91530110;Rua Capitão Pedro Werlang;-30.0647678000000000;-51.1518440000000000;2;2;1;1;;;57;498000;498083.33;https://www.redegauchadeimoveis.com.br/imovel/apartamento-com-2-quartos-a-venda-e-1-vaga-bairro-partenon-em-porto-alegre/3310-CN;2026-07-11T01:15:53.978Z
rgi;venda;9894477;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Bela Vista;RS;90460000;Avenida Coronel Lucas de Oliveira;-30.0474195000000000;-51.1956101000000000;2;1;0;1;90;;82;485000;485700;https://www.redegauchadeimoveis.com.br/imovel/apartamento-com-2-quartos-a-venda-e-1-vaga-bairro-bela-vista-em-porto-alegre/112791-BO;2026-07-11T01:15:53.979Z
rgi;venda;3525683;Casa de Condomínio;Casa de Condomínio com 5 quartos à venda;Porto Alegre;Terraville;RS;91781200;Avenida Juca Batista;-30.1851230000000000;-51.1742217000000000;5;5;4;4;480;480;480;2950000;2954194.41;https://www.redegauchadeimoveis.com.br/imovel/casa-de-condominio-com-5-quartos-a-venda-e-4-vagas-bairro-terraville-em-porto-alegre/268420-LU;2026-07-11T01:15:54.746Z
rgi;venda;6748617;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Petrópolis;RS;90410007;Avenida Protásio Alves;-30.0389140000000000;-51.1755250000000000;2;1;0;1;62;62;62;276000;276350;https://www.redegauchadeimoveis.com.br/imovel/apartamento-com-2-quartos-a-venda-e-1-vaga-bairro-petropolis-em-porto-alegre/9134-PJ;2026-07-11T01:15:54.746Z
rgi;venda;10139014;Apartamento;Apartamento com 1 quarto à venda;Porto Alegre;Bom Fim;RS;90035121;Rua General João Telles;-30.0326160000000000;-51.2127409000000000;1;1;0;0;54;44;44;300000;300150;https://www.redegauchadeimoveis.com.br/imovel/apartamento-com-1-quarto-a-venda-bairro-bom-fim-em-porto-alegre/56430-JD;2026-07-11T01:15:54.746Z
rgi;venda;7103687;Apartamento;Apartamento com 2 quartos à venda;Porto Alegre;Jardim Lindóia;RS;91050000;Avenida Panamericana;-30.0073167000000000;-51.1510040000000000;2;1;0;0;75;68;68;350000;350405;https://www.redegauchadeimoveis.com.br/imovel/apartamento-com-2-quartos-a-venda-bairro-jardim-lindoia-em-porto-alegre/62830-TR;2026-07-11T01:15:54.746Z
